OFFENSE_CODE,INCIDENT_MONTH,COUNT
string,string,integer
35A,01,925
35A,02,936
35A,03,1125
35A,04,987
35A,05,943
35A,06,778
35A,07,902
35A,08,1005
35A,09,907
35A,10,969
35A,11,798
35A,12,826
35B,01,555
35B,02,573
35B,03,626
35B,04,561
35B,05,492
35B,06,434
35B,07,463
35B,08,553
35B,09,519
35B,10,552
35B,11,509
35B,12,480
120,01,237
120,02,191
120,07,204
120,08,177
120,09,183
120,10,254
120,11,193
120,12,214
13A,01,390
13A,02,358
13A,03,330
13A,04,329
13A,05,335
13A,06,329
13A,07,382
13A,08,390
13A,09,339
13A,10,355
13A,11,312
13A,12,348
13B,01,1326
13B,02,1134
13B,03,1173
13B,04,1046
13B,05,1199
13B,06,1152
13B,07,1208
13B,08,1243
13B,09,1188
13B,10,1190
13B,11,973
13B,12,975
220,01,1210
220,02,1093
220,03,1134
220,04,1055
220,05,1203
220,06,1139
220,07,1173
220,08,1357
220,09,1254
220,10,1243
220,11,1050
220,12,1072
23C,01,1299
23C,02,1211
23C,03,1241
23C,04,1112
23C,05,1043
23C,06,987
23C,07,966
23C,08,954
23C,09,969
23C,10,1174
23C,11,1018
23C,12,1158
23D,01,1060
23D,02,897
23D,03,1050
23D,04,968
23D,05,909
23D,06,979
23D,07,957
23D,08,970
23D,09,820
23D,10,930
23D,11,832
23D,12,903
23F,01,1305
23F,02,1031
23F,03,1289
23F,04,1206
23F,05,1068
23F,06,1142
23F,07,1189
23F,08,1185
23F,09,1070
23F,10,1185
23F,11,1071
23F,12,1001
23G,01,381
23G,02,350
23G,03,454
23G,04,467
23G,05,446
23G,06,446
23G,07,568
23G,08,568
23G,09,499
23G,10,564
23G,11,513
23G,12,479
23H,01,1472
23H,02,1255
23H,03,1493
23H,04,1272
23H,05,1344
23H,06,1509
23H,07,1646
23H,08,1741
23H,09,1528
23H,10,1504
23H,11,1430
23H,12,1592
240,01,578
240,02,554
240,03,570
240,04,611
240,05,582
240,06,574
240,07,644
240,08,608
240,09,575
240,10,687
240,11,627
240,12,695
250,01,372
250,02,266
250,03,309
250,04,291
250,05,279
250,06,283
250,07,295
250,08,287
250,09,313
250,10,339
250,11,310
250,12,330
26A,01,298
26A,02,220
26A,03,235
26A,04,266
26A,05,215
26A,06,230
26A,07,255
26A,08,256
26A,09,233
26A,10,235
26A,11,210
26A,12,305
290,01,2765
290,02,2699
290,03,2931
290,04,2606
290,05,2544
290,06,2737
290,07,2888
290,08,3082
290,09,2460
290,10,2811
290,11,2574
290,12,2333
520,01,223
520,02,223
520,03,243
520,04,258
520,05,234
520,06,199
520,07,278
520,08,230
520,09,226
520,10,195
520,11,201
520,12,202
