OFFENSE_CODE	INCIDENCE_HOUR	COUNT
string	string	integer
220	[... : 3]	1769                                   
220	(3 : 6]	782                                   
220	(6 : 9]	1905                                   
220	(9 : 12]	1770                                   
220	(12 : 15]	1661                                   
220	(15 : 18]	2617                                   
220	(18 : 21]	1760                                   
220	(21 : ...]	1102                                   
23C	[... : 3]	570                                   
23C	(6 : 9]	388                                   
23C	(9 : 12]	1996                                   
23C	(12 : 15]	3630                                   
23C	(15 : 18]	3703                                   
23C	(18 : 21]	2080                                   
23C	(21 : ...]	424                                   
23D	[... : 3]	1247                                   
23D	(3 : 6]	251                                   
23D	(6 : 9]	1373                                   
23D	(9 : 12]	2054                                   
23D	(12 : 15]	2076                                   
23D	(15 : 18]	1922                                   
23D	(18 : 21]	1174                                   
23D	(21 : ...]	562                                   
23F	[... : 3]	1873                                   
23F	(3 : 6]	510                                   
23F	(6 : 9]	1245                                   
23F	(9 : 12]	1419                                   
23F	(12 : 15]	1367                                   
23F	(15 : 18]	2393                                   
23F	(18 : 21]	2657                                   
23F	(21 : ...]	1841                                   
23G	[... : 3]	656                                   
23G	(3 : 6]	199                                   
23G	(6 : 9]	611                                   
23G	(9 : 12]	664                                   
23G	(12 : 15]	630                                   
23G	(15 : 18]	1069                                   
23G	(18 : 21]	1040                                   
23G	(21 : ...]	706                                   
23H	[... : 3]	1673                                   
23H	(3 : 6]	438                                   
23H	(6 : 9]	1980                                   
23H	(9 : 12]	2859                                   
23H	(12 : 15]	3408                                   
23H	(15 : 18]	3421                                   
23H	(18 : 21]	2124                                   
23H	(21 : ...]	955                                   
240	[... : 3]	996                                   
240	(3 : 6]	386                                   
240	(6 : 9]	720                                   
240	(9 : 12]	765                                   
240	(12 : 15]	701                                   
240	(15 : 18]	1238                                   
240	(18 : 21]	1390                                   
240	(21 : ...]	946                                   
250	[... : 3]	695                                   
250	(6 : 9]	391                                   
250	(9 : 12]	674                                   
250	(12 : 15]	664                                   
250	(15 : 18]	553                                   
250	(18 : 21]	289                                   
26A	[... : 3]	804                                   
26A	(6 : 9]	274                                   
26A	(9 : 12]	488                                   
26A	(12 : 15]	442                                   
26A	(15 : 18]	388                                   
26A	(18 : 21]	305                                   
26B	[... : 3]	245                                   
26B	(9 : 12]	200                                   
26B	(12 : 15]	208                                   
26B	(15 : 18]	184                                   
26C	[... : 3]	287                                   
280	[... : 3]	218                                   
290	[... : 3]	4906                                   
290	(3 : 6]	1263                                   
290	(6 : 9]	3538                                   
290	(9 : 12]	3183                                   
290	(12 : 15]	3434                                   
290	(15 : 18]	5589                                   
290	(18 : 21]	5296                                   
290	(21 : ...]	4042                                   
