OFFENSE_CODE	HOURS	COUNT
string	string	integer
35A	(6 : 9]	593
35A	(9 : 12]	1004
35A	(12 : 15]	1232
35A	(15 : 18]	1286
35A	(18 : 21]	2059
35A	(21 : ...]	1861
35B	[... : 3]	1542
35B	(6 : 9]	349
35B	(9 : 12]	554
35B	(12 : 15]	635
35B	(15 : 18]	674
35B	(18 : 21]	1038
35B	(21 : ...]	1169
11A	[... : 3]	273
11D	[... : 3]	223
11D	(12 : 15]	189
120	[... : 3]	376
120	(9 : 12]	173
120	(12 : 15]	235
120	(15 : 18]	319
120	(18 : 21]	594
120	(21 : ...]	351
13A	[... : 3]	973
13A	(6 : 9]	191
13A	(9 : 12]	326
13A	(12 : 15]	478
13A	(15 : 18]	615
13A	(18 : 21]	799
13A	(21 : ...]	613
13B	[... : 3]	2608
13B	(3 : 6]	419
13B	(6 : 9]	804
13B	(9 : 12]	1335
13B	(12 : 15]	1840
13B	(15 : 18]	2021
13B	(18 : 21]	2634
13B	(21 : ...]	1857
13C	[... : 3]	188
13C	(9 : 12]	185
13C	(12 : 15]	193
13C	(15 : 18]	244
13C	(18 : 21]	241
220	[... : 3]	1769
220	(3 : 6]	782
220	(6 : 9]	1905
220	(9 : 12]	1770
220	(12 : 15]	1661
220	(15 : 18]	2617
220	(18 : 21]	1760
220	(21 : ...]	1102
23C	[... : 3]	570
23C	(6 : 9]	388
23C	(9 : 12]	1996
23C	(12 : 15]	3630
23C	(15 : 18]	3703
23C	(18 : 21]	2080
23C	(21 : ...]	424
23D	[... : 3]	1247
23D	(3 : 6]	251
23D	(6 : 9]	1373
23D	(9 : 12]	2054
23D	(12 : 15]	2076
23D	(15 : 18]	1922
23D	(18 : 21]	1174
23D	(21 : ...]	562
23F	[... : 3]	1873
23F	(3 : 6]	510
23F	(6 : 9]	1245
23F	(9 : 12]	1419
23F	(12 : 15]	1367
23F	(15 : 18]	2393
23F	(18 : 21]	2657
23F	(21 : ...]	1841
23G	[... : 3]	656
23G	(3 : 6]	199
23G	(6 : 9]	611
23G	(9 : 12]	664
23G	(12 : 15]	630
23G	(15 : 18]	1069
23G	(18 : 21]	1040
23G	(21 : ...]	706
23H	[... : 3]	1673
23H	(3 : 6]	438
23H	(6 : 9]	1980
23H	(9 : 12]	2859
23H	(12 : 15]	3408
23H	(15 : 18]	3421
23H	(18 : 21]	2124
23H	(21 : ...]	955
240	[... : 3]	996
240	(3 : 6]	386
240	(6 : 9]	720
240	(9 : 12]	765
240	(12 : 15]	701
240	(15 : 18]	1238
240	(18 : 21]	1390
240	(21 : ...]	946
250	[... : 3]	695
250	(6 : 9]	391
250	(9 : 12]	674
250	(12 : 15]	664
250	(15 : 18]	553
250	(18 : 21]	289
26A	[... : 3]	804
26A	(6 : 9]	274
26A	(9 : 12]	488
26A	(12 : 15]	442
26A	(15 : 18]	388
26A	(18 : 21]	305
26B	[... : 3]	245
26B	(9 : 12]	200
26B	(12 : 15]	208
26B	(15 : 18]	184
26C	[... : 3]	287
280	[... : 3]	218
290	[... : 3]	4906
290	(3 : 6]	1263
290	(6 : 9]	3538
290	(9 : 12]	3183
290	(12 : 15]	3434
290	(15 : 18]	5589
290	(18 : 21]	5296
290	(21 : ...]	4042
35A	[... : 3]	2498
35A	(3 : 6]	277
520	[... : 3]	542
520	(9 : 12]	264
520	(12 : 15]	352
520	(15 : 18]	374
520	(18 : 21]	508
520	(21 : ...]	438
