ORF_A	ORF_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID
YER006W	YPL211W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YKL009W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YNL002C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YHR052W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YCR072C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YMR290C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YPL146C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YDR101C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YPL093W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YGR103W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YLR002C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YNL061W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YHR197W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YOR206W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YGR245C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YMR049C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YCL054W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YDL031W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YLR106C	Affinity Precipitation	Bassler et al	;11583615;
YDL140C	YBR154C	Two Hybrid	BIND	;2496296;9207794;10393904;
YOR116C	YBR154C	Two Hybrid	BIND	;2496296;9207794;10393904;
YDL140C	YOR224C	Two Hybrid	BIND	;2496296;9207794;10393904;
YOR116C	YOR224C	Two Hybrid	BIND	;2496296;9207794;10393904;
YOR341W	YBR154C	Two Hybrid	BIND	;9207794;10393904;
YOR341W	YOR224C	Two Hybrid	BIND	;9207794;10393904;
YDL140C	YOR210W	Two Hybrid	BIND	;2496296;9207794;10393904;
YOR151C	YOR210W	Two Hybrid	BIND	;1939219;9207794;10393904;
YPR010C	YJR063W	Two Hybrid	BIND	;9207794;10393904;
YIL021W	YOL005C	Two Hybrid	BIND	;9207794;10393904;
YPR110C	YNL113W	Two Hybrid	BIND	;9207794;10393904;10688190;
YNL151C	YPR190C	Two Hybrid	BIND	;2547163;8407894;
YNL151C	YNR003C	Two Hybrid	BIND	;2547163;8407894;
YNR003C	YPR190C	Two Hybrid	BIND	;2547163;8407894;
YPL153C	YDR217C	Affinity Chromatography	BIND	;9657725;9734355;9755168;
YPL153C	YDR217C	Affinity Precipitation	BIND	;9657725;9734355;9755168;
YPL153C	YDR217C	Two Hybrid	BIND	;9657725;9734355;9755168;
YOR128C	YOR128C	Two Hybrid	BIND	;10688190;
YOR128C	YCR066W	Two Hybrid	BIND	;10688190;
YOR128C	YCR067C	Two Hybrid	BIND	;10688190;
YOR128C	YBR134W	Two Hybrid	BIND	;10688190;
YGR061C	YLR386W	Two Hybrid	BIND	;10688190;
YDR408C	YOR174W	Two Hybrid	BIND	;10688190;
YDR408C	YGL127C	Two Hybrid	BIND	;10688190;
YDR408C	YCR063W	Two Hybrid	BIND	;10688190;
YMR303C	YFL042C	Two Hybrid	BIND	;10688190;
YOR023C	YCR082W	Two Hybrid	BIND	;10688190;11283351;
YMR092C	YLR102C	Two Hybrid	BIND	;10688190;
YOL130W	YLR291C	Two Hybrid	BIND	;10688190;
YOL130W	YGL025C	Two Hybrid	BIND	;10688190;
YOL130W	YGL024W	Two Hybrid	BIND	;10688190;
YOL130W	YNL086W	Two Hybrid	BIND	;10688190;
YBR217W	YNR007C	Two Hybrid	BIND	;10688190;11283351;
YBR217W	YMR159C	Two Hybrid	BIND	;10688190;11283351;
YPR185W	YGL180W	Two Hybrid	BIND	;10688190;
YPR185W	YGR253C	Two Hybrid	BIND	;10688190;
YPR185W	YGR120C	Two Hybrid	BIND	;10688190;
YPR185W	YNL086W	Two Hybrid	BIND	;10688190;
YPL149W	YBR217W	Two Hybrid	BIND	;10688190;11283351;
YPL149W	YMR159C	Two Hybrid	BIND	;10688190;11283351;
YHR171W	YBR217W	Two Hybrid	BIND	;10688190;11283351;
YHR171W	YNR007C	Two Hybrid	BIND	;10688190;11283351;
YHR171W	YBL078C	Two Hybrid	BIND	;10688190;
YPL259C	YKL135C	Two Hybrid	BIND	;10688190;11283351;
YHL019C	YKL135C	Two Hybrid	BIND	;10688190;11283351;
YDR376W	YCR093W	Two Hybrid	BIND	;10688190;
YDR376W	YIR024C	Two Hybrid	BIND	;10688190;
YDR106W	YHR129C	Two Hybrid	BIND	;10688190;
YPR020W	YKL130C	Two Hybrid	BIND	;10688190;
YPL161C	YGL126W	Two Hybrid	BIND	;10688190;
YPL161C	YIL163C	Two Hybrid	BIND	;10688190;
YPL161C	YLR049C	Two Hybrid	BIND	;10688190;
YDR099W	YNL042W	Two Hybrid	BIND	;10688190;
YDR099W	YBL043W	Two Hybrid	BIND	;10688190;
YMR055C	YER143W	Two Hybrid	BIND	;10688190;11283351;
YMR055C	YHR061C	Two Hybrid	BIND	;10688190;
YMR055C	YGR153W	Two Hybrid	BIND	;10688190;
YMR055C	YNL335W	Two Hybrid	BIND	;10688190;
YOR026W	YJL013C	Two Hybrid	BIND	;10688190;
YLR319C	YGL015C	Two Hybrid	BIND	;10688190;11283351;
YOR276W	YOL139C	Two Hybrid	BIND	;10688190;11283351;
YPL111W	YPL111W	Two Hybrid	BIND	;10688190;11283351;
YLR438W	YHL025W	Two Hybrid	BIND	;10688190;
YLR438W	YGR010W	Two Hybrid	BIND	;10688190;
YLR438W	YLR328W	Two Hybrid	BIND	;10688190;
YDL220C	YDR082W	Two Hybrid	BIND	;10688190;11283351;
YGL116W	YJL030W	Two Hybrid	BIND	;10688190;
YLR229C	YPL161C	Two Hybrid	BIND	;10688190;
YLR229C	YDL135C	Two Hybrid	BIND	;10688190;
YGL155W	YKL019W	Two Hybrid	BIND	;10688190;
YDL132W	YDL017W	Two Hybrid	BIND	;10688190;
YDL132W	YDR328C	Two Hybrid	BIND	;10688190;
YDL132W	YLR100W	Two Hybrid	BIND	;10688190;
YDL132W	YLR128W	Two Hybrid	BIND	;10688190;
YDL132W	YLR368W	Two Hybrid	BIND	;10688190;
YDL132W	YGL249W	Two Hybrid	BIND	;10688190;
YDL017W	YJL088W	Two Hybrid	BIND	;10688190;
YDL017W	YDL160C	Two Hybrid	BIND	;10688190;
YDL017W	YKL039W	Two Hybrid	BIND	;10688190;
YDL017W	YGR099W	Two Hybrid	BIND	;10688190;
YDL017W	YCR022C	Two Hybrid	BIND	;10688190;
YDL017W	YCR050C	Two Hybrid	BIND	;10688190;
YDL017W	YEL023C	Two Hybrid	BIND	;10688190;
YDL017W	YFR057W	Two Hybrid	BIND	;10688190;
YDL017W	YNR048W	Two Hybrid	BIND	;10688190;
YDL017W	YOR006C	Two Hybrid	BIND	;10688190;
YLR245C	YLR245C	Two Hybrid	BIND	;10688190;10655498;11283351;
YBR274W	YMR255W	Two Hybrid	BIND	;10688190;
YBR274W	YLR258W	Two Hybrid	BIND	;10688190;
YMR138W	YOR070C	Two Hybrid	BIND	;10688190;
YMR138W	YBR284W	Two Hybrid	BIND	;10688190;
YCR005C	YCR005C	Two Hybrid	BIND	;10688190;
YCR005C	YJL042W	Two Hybrid	BIND	;10688190;
YOR061W	YOR039W	Two Hybrid	BIND	;10688190;11283351;
YGR108W	YBR135W	Two Hybrid	BIND	;10688190;11283351;
YPR119W	YBR135W	Two Hybrid	BIND	;10688190;11283351;
YPR119W	YNL135C	Two Hybrid	BIND	;10688190;
YPR119W	YDR386W	Two Hybrid	BIND	;10688190;
YPR119W	YDR412W	Two Hybrid	BIND	;10688190;
YPR119W	YHR035W	Two Hybrid	BIND	;10688190;
YPR119W	YNR022C	Two Hybrid	BIND	;10688190;
YDL155W	YBR135W	Two Hybrid	BIND	;10688190;
YAL040C	YJL013C	Two Hybrid	BIND	;10688190;
YLR433C	YNL047C	Two Hybrid	BIND	;10688190;
YKL190W	YMR211W	Two Hybrid	BIND	;10688190;
YBR155W	YDR463W	Two Hybrid	BIND	;10688190;
YLL050C	YFL039C	Two Hybrid	BIND	;10688190;
YOR303W	YOR039W	Two Hybrid	BIND	;10688190;
YLR216C	YIR037W	Two Hybrid	BIND	;10688190;
YLR429W	YDR328C	Two Hybrid	BIND	;10688190;
YNR010W	YOR174W	Two Hybrid	BIND	;10688190;
YMR094W	YLL052C	Two Hybrid	BIND	;10688190;
YMR094W	YOR359W	Two Hybrid	BIND	;10688190;
YHR057C	YJR091C	Two Hybrid	BIND	;10688190;
YGR155W	YCR086W	Two Hybrid	BIND	;10688190;
YIR032C	YIR032C	Two Hybrid	BIND	;10688190;
YNL314W	YNL314W	Two Hybrid	BIND	;10688190;
YGR113W	YGL061C	Two Hybrid	BIND	;10688190;11283351;
YNL118C	YOL149W	Two Hybrid	BIND	;10688190;
YNL118C	YEL015W	Two Hybrid	BIND	;10688190;
YDL160C	YOL149W	Two Hybrid	BIND	;10688190;11283351;
YDL160C	YEL015W	Two Hybrid	BIND	;10688190;11283351;
YPR082C	YBR055C	Two Hybrid	BIND	;10688190;
YPL049C	YDR480W	Two Hybrid	BIND	;10688190;11283351;
