UID	TIME	A	B	C	D	E	F
double	double	double	double	double	double	double	double
1	1	45.625000	0.149135	1.154218	-0.299478	0.018572	0.016066
1	2	45.250000	0.149135	1.271168	-0.316062	0.018735	0.016559
1	3	46.000000	0.149135	1.046933	-0.283312	0.031796	0.015538
1	4	45.875000	0.149135	1.083833	-0.291008	0.033537	0.015648
1	5	46.250000	0.149135	0.979150	-0.272904	0.024560	0.015116
1	6	46.625000	0.149135	0.880039	-0.257812	0.029479	0.014515
1	7	46.875000	0.149135	0.817388	-0.245558	0.033623	0.014101
1	8	46.750000	0.149135	0.848826	-0.253388	0.033727	0.014281
1	9	47.000000	0.149135	0.787279	-0.241340	0.025687	0.013844
1	10	46.875000	0.149135	0.817982	-0.248468	0.034792	0.014026
1	11	46.750000	0.149135	0.849801	-0.256138	0.032539	0.014207
1	12	46.500000	0.149135	0.915863	-0.268302	0.026879	0.014558
1	13	46.625000	0.149135	0.883096	-0.263642	0.026945	0.014339
1	14	45.750000	0.149135	1.133251	-0.307098	0.029480	0.015591
1	15	46.875000	0.149135	0.819043	-0.253690	0.031495	0.013893
1	16	47.375000	0.149135	0.698174	-0.229938	0.032454	0.012956
1	17	47.750000	0.149135	0.615082	-0.211602	0.031232	0.012276
1	18	48.125000	0.149135	0.538619	-0.193642	0.027566	0.011546
1	19	49.000000	0.149135	0.386944	-0.150036	0.026464	0.009805
1	20	49.125000	0.149135	0.367362	-0.144788	0.026510	0.009515
1	21	49.000000	0.149135	0.384609	-0.150430	0.030888	0.009722
1	22	49.250000	0.149135	0.347182	-0.141070	0.014487	0.009232
1	23	49.750000	0.149135	0.280461	-0.120826	0.018424	0.008205
1	24	49.875000	0.149135	0.264173	-0.117286	0.019153	0.007998
1	25	49.250000	0.149135	0.343374	-0.141546	0.018809	0.009105
1	26	48.875000	0.149135	0.397955	-0.158988	0.036112	0.009800
1	27	48.750000	0.149135	0.417107	-0.165920	0.029841	0.010028
1	28	48.750000	0.149135	0.415902	-0.166190	0.031144	0.009986
1	29	48.500000	0.149135	0.457910	-0.179614	0.034736	0.010431
1	30	48.500000	0.149135	0.456776	-0.180090	0.034008	0.010397
1	31	48.250000	0.149135	0.502522	-0.194286	0.030038	0.010853
1	32	47.750000	0.149135	0.606004	-0.222570	0.037183	0.011762
1	33	47.875000	0.149135	0.577800	-0.216800	0.028879	0.011500
1	34	47.000000	0.149135	0.788535	-0.266148	0.035789	0.013077
1	35	47.125000	0.149135	0.755607	-0.259914	0.041314	0.012817
1	36	47.250000	0.149135	0.723364	-0.253624	0.035546	0.012545
1	37	47.500000	0.149135	0.660931	-0.242714	0.033552	0.012048
1	38	47.375000	0.149135	0.691245	-0.249660	0.028881	0.012228
