Locus_Name	Alias_Name	Description	Gene_Product	Phenotype	ORF_Name	SGDID
15S_RRNA_2		Mitochondrial 15S rRNA				S0007287
21S_RRNA_3		Mitochondrial 21S rRNA				S0007288
21S_RRNA_4		Mitochondrial 21S rRNA				S0007289
9S_RRNA_1		Mitochondrial 9S rRNA				S0007285
9S_RRNA_5		Mitochondrial 9S rRNA				S0007286
AAC1		minor species of mitochondrial ADP/ATP translocator, highly homologous to PET9 (AAC2) and AAC3	ADP/ATP translocator	Null mutant is viable, shows altered colony morphology	YMR056C	S0004660
AAC3	ANC3	highly homologous to PET9 (AAC2) and AAC1; expression occurs only under anaerobic conditions	ADP/ATP translocator	Null mutant is viable; pet9,aac3 double null mutant is inviable under anaerobic conditions	YBR085W	S0000289
AAD10		high degree of similarity with the AAD of P. chrysosporium	aryl-alcohol dehydrogenase (putative)		YJR155W	S0003916
AAD14		aryl-alcohol dehydrogenase located on chromosome 14	aryl-alcohol dehydrogenase (putative)		YNL331C	S0005275
AAD15		high degree of similarity with the AAD of P. chrysosporium	aryl-alcohol dehydrogenase (putative)		YOL165C	S0005525
AAD16		Hypothetical ORF			YFL057C	S0001837
AAD3		high degree of similarity with the AAD of P. chrysosporium	aryl-alcohol dehydrogenase (putative)		YCR107W	S0000704
AAD4		high degree of similarity with the AAD of P. chrysosporium	aryl-alcohol dehydrogenase (putative)	Responds to oxidative stress induced by diamide and di-ethyl maleic acid ester in a YAP1 dependant manner	YDL243C	S0002402
AAD6		high degree of similarity with the AAD of P. chrysosporium	aryl-alcohol dehydrogenase (putative)	Responds to oxidative stress induced by diamide and di-ethyl maleic acid ester in YAP1 dependant manner	YFL056C	S0001838
AAH1		adenine aminohydrolase (adenine deaminase)	adenine aminohydrolase (adenine deaminase)	Null mutant is viable	YNL141W	S0005085
AAP1	ATP8	Subunit 8 of Mitochondrial ATP synthase. Integral membrane protein homologous to bovine A6L.	ATP synthase subunit 8|mitochondrially encoded	Loss of respiratory function	Q0080	S0007267
AAP1'	AAP1	arginine/alanine aminopeptidase	arginine/alanine aminopeptidase	null mutant is viable, decrease in glycogen accumulation	YHR047C	S0001089
AAR2		component of free U5 snRNP and recycling factor for U4/U6.U5 tri-snRNP complex; (originally described as a splicing factor specifically required for splicing pre mRNA of the MATa1 cistron)		growth defect and defect in splicing the pre-mRNA of the MATa1 cistron	YBL074C	S0000170
AAT1		aspartate aminotransferase, mitochondrial	aspartate aminotransferase	Null mutant is viable; aat1 leu2 double mutant is inviable.	YKL106W	S0001589
AAT2	ASP5	aspartate aminotransferase, cytosolic	aspartate aminotransferase		YLR027C	S0004017
ABC1		multicopy suppressor of a cytochrome b mRNA translation defect, essential for the electron transfer in the bc1 complex		null mutant is viable, no oxygen uptake and no growth on non-fermentable media	YGL119W	S0003087
ABD1		RNA (guanine-7-)methyltransferase (cap methyltransferase)	RNA (guanine-7-)methyltransferase (cap methyltransferase)	null mutant is inviable	YBR236C	S0000440
ABF1	BAF1|OBF1|REB2|SBF1	transcriptional activator and ARS1 binding protein	ARS1 binding protein|transcriptional activator	Null mutant is inviable	YKL112W	S0001595
ABF2		HMG-1 homolog, mitochondrial	HMG-1 homolog		YMR072W	S0004676
ABM1		aberrant microtubules			YJR108W	S0003869
ABP1		Actin binding protein	actin binding protein	Null mutant is viable	YCR088W	S0000684
ABP140		actin filament binding protein 	actin filament binding protein	Null mutant is viable.	YOR239W	S0005765
ABZ1		aminodeoxychorismate synthase, activity involved in synthesis of para-aminobenzoate (PABA); contains regions of homology to both the pabA and pabB genes of E. coli	aminodeoxychorismate synthase	Null mutant is viable and PABA auxotroph	YNR033W	S0005316
ACA1		contains an ATF/CREB-like bZIP domain; transcriptional activator	basic leucine zipper (bZIP) transcription factor		YER045C	S0000847
ACB1		Involved in transport of newly synthesized acyl-CoA esters from the fatty acid synthetase to acyl-CoA-consuming processes	acyl-CoA-binding protein (ACBP)/diazepam binding inhibitor (DBI)/endozepine (EP)	Null mutant is viable, slightly reduced growth rate on ethanol	YGR037C	S0003269
ACC1	ABP2|FAS3	acetyl-CoA carboxylase	acetyl CoA carboxylase	acc1 spores fail to enter vegetative growth	YNR016C	S0005299
ACD1						L0000018
ACE2		involved in transcriptional regulation of CUP1. enters nucleus only at the end of mitosis.	zinc finger transcription factor	Null mutant is viable, exhibits decreased CUP1 mRNA expression	YLR131C	S0004121
ACF2	ENG2	glucan-hydrolyzing protein that specifically acts on 1,3-beta linkages, with an endolytic mode of action. necessary for actin polymerization in permeabilized cells.		Null mutant shows defect in in vitro actin assembly in the permeabilized cell assay	YLR144C	S0004134
ACF4		Hypothetical ORF			YJR083C	S0003843
ACH1		Mannose-containing glycoprotein which binds concanavalin A	acetyl CoA hydrolase		YBL015W	S0000111
ACN9					YDR511W	S0002919
ACO1	GLU1	Aconitase, mitochondrial	aconitase	glutamate auxotrophy	YLR304C	S0004295
ACP1		mitochondrial acyl carrier protein	acyl carrier protein	The null mutant is viable but respiratory-deficient and contains only 5-10% of the wild-type amount of lipoic acid.	YKL192C	S0001675
ACR2		Involved in sensitivity to aculeacin A		Resistant to aculeacin A, echinocandin B, but not papulacandin B		L0004315
ACR3		Involved in sensitivity to aculeacin A		Resistant to aculeacin A, echinocandin B, and papulacandin B		L0004316
ACR4		Involved in sensitivity to aculeacin A		Resistant to aculeacin A, echinocandin B, and papulacandin B		L0004317
ACS1	FUN44	one of 2 acetyl-coA synthetases in yeast	acetyl CoA synthetase	Null mutant is viable and grows on ethanol or glucose (but not acetate) as sole carbon source (but with long lag-phase); acs1 acs2 double null mutant is inviable	YAL054C	S0000050
ACS2		one of 2 acetyl-coA synthetases in yeast	acetyl CoA synthetase	Null mutant is viable, and grows on ethanol or acetate as sole carbon source, but is unable to grow on glucose as sole carbon source; acs1 acs2 double null mutant is inviable	YLR153C	S0004143
ACT1	ABY1|END7	Involved in cell polarization, endocytosis and other cytoskeletal functions	actin	Null mutant is inviable; ts mutants show osmosensitivity and defects in actin organization at non-permissive temp.; overproduction is lethal	YFL039C	S0001855
ADA2	SWI8	transcription factor, member of ADA and SAGA, two transcriptional adaptor/HAT (histone acetyltransferase)complexes	ADA and SAGA component, two transcriptional adaptor/HAT (histone acetyltransferase) complexes|transcription factor	Null mutant is viable, grows poorly on minimal media	YDR448W	S0002856
ADD1						L0003976
ADE1		phosphoribosyl amino imidazolesuccinocarbozamide synthetase	phosphoribosyl amino imidazolesuccinocarbozamide synthetase	Null mutant is viable and adenine auxotroph; ade1 mutants produce red pigment when grown in media containing low lvels of adenine.	YAR015W	S0000070
ADE12	BRA9	adenylosuccinate synthetase	adenylosuccinate synthetase	Adenine requiring	YNL220W	S0005164
ADE13	BRA1|BRA8	Adenylosuccinate Lyase	adenylosuccinate lyase	Unable to grow on complete media with glucose or fructose as a carbon source, but can grow with glycerol or ethanol	YLR359W	S0004351
ADE15				Adenine requiring		L0000040
ADE16		AICAR transformylase/IMP cyclohydrolase	5-aminoimidazole-4-carboxamide ribonucleotide (AICAR) transformylase/IMP cyclohydrolase	Null mutant is viable; ade16 ade17 double mutant requires adenine	YLR028C	S0004018
